 Message (if any),رسالة (اختياري)
Serial and Batch Bundle {0} is not submitted,Serial and Batch Bundle {0} is not submitted
Serial and Batch Bundle created,تم إنشاء حزمة الرقم التسلسلي والدفعة
Serial and Batch Bundle updated,تم تحديث حزمة الرقم التسلسلي والدفعة
Serial and Batch Details,تفاصيل الرقم التسلسلي والدفعة
Serial and Batch Entry,قيد الرقم التسلسلي والدفعة
Serial and Batch No,رقم تسلسلي ورقم دفعة
Serial and Batch Nos,أرقام تسلسلية وأرقام دفعات
Serial and Batch Nos will be auto-reserved based on **Pick Serial / Batch Based On**,سيتم حجز الأرقام التسلسلية وأرقام الدفعات تلقائيًا بناءً على **اختيار الرقم التسلسلي / الدفعة بناءً على**
Serial and Batch Nos will be auto-reserved based on <b>Pick Serial / Batch Based On</b>,سيتم حجز الأرقام التسلسلية وأرقام الدفعات تلقائيًا بناءً على <b>اختيار الرقم التسلسلي / الدفعة بناءً على</b>
Serial and Batch Reservation,حجز الرقم التسلسلي والدفعة
Serial and Batch Summary,ملخص الرقم التسلسلي والدفعة
Serial No,رقم المسلسل
Serial No (In/Out),الرقم التسلسلي (داخل/خارج)
Serial No {0} already exists,الرقم التسلسلي {0} موجود بالفعل
Serial No {0} already scanned,الرقم التسلسلي {0} تم مسحه ضوئيًا بالفعل
Serial No {0} Created,المسلسل لا {0} خلق
Serial No {0} does not belong to any Warehouse,الرقم المتسلسل {0} لا يرتبط باي المستودع\n<br>\nSerial No {0} does not belong to any Warehouse
Serial No {0} does not belong to Batch {1},المسلسل لا {0} لا ينتمي إلى الدفعة {1}
Serial No {0} does not belong to Delivery Note {1},الرقم المتسلسل {0} لا ينتمي الى مذكرة تسليم {1}\n<br>\nSerial No {0} does not belong to Delivery Note {1}
Serial No {0} does not belong to Item {1},الرقم المتسلسل {0} لا ينتمي إلى البند {1}\n<br>\nSerial No {0} does not belong to Item {1}
Serial No {0} does not belong to Warehouse {1},الرقم المتسلسل {0} لا ينتمي إلى المستودع {1}\n<br>\nSerial No {0} does not belong to Warehouse {1}
Serial No {0} does not exist,الرقم المتسلسل {0} غير موجود\n<br>\nSerial No {0} does not exist
Serial No {0} does not exists,الرقم التسلسلي {0} غير موجود
Serial No {0} has already been received,رقم المسلسل {0} وقد وردت بالفعل
Serial no {0} has been already returned,المسلسل no {0} قد تم إرجاعه بالفعل
Serial No {0} is already added,الرقم التسلسلي {0} مضاف بالفعل
Serial No {0} is already assigned to customer {1}. Can only be returned against the customer {1},Serial No {0} is already assigned to customer {1}. Can only be returned against the customer {1}
Serial No {0} is already assigned to customer {1}. Can only be returned against the customer {1},Serial No {0} is already assigned to customer {1}. Can only be returned against the customer {1}
"Serial No {0} is not present in the {1} {2}, hence you can't return it against the {1} {2}",الرقم التسلسلي {0} غير موجود في {1} {2}، وبالتالي لا يمكنك إرجاعه مقابل {1} {2}
Serial No {0} is under maintenance contract upto {1},الرقم التسلسلي {0} يتبع عقد الصيانة حتى {1}\n<br>\nSerial No {0} is under maintenance contract upto {1}
Serial No {0} is under warranty upto {1},الرقم التسلسلي {0} تحت الضمان حتى {1}\n<br>\nSerial No {0} is under warranty upto {1}
Serial No {0} not found,لم يتم العثور علي الرقم التسلسلي {0}\n<br>\nSerial No {0} not found
Serial No {0} not in stock,رقم المسلسل {0} ليس في الأوراق المالية
Serial No {0} quantity {1} cannot be a fraction,الرقم المتسلسل {0} الكمية {1} لا يمكن أن يكون كسر\n<br>\nSerial No {0} quantity {1} cannot be a fraction
Serial No / Batch,رقم المسلسل / الدفعة
Serial No Already Assigned,Serial No Already Assigned
Serial No Already Assigned,Serial No Already Assigned
Serial No and Batch,الرقم التسلسلي والدفعة
Serial No and Batch for Finished Good,Serial No and Batch for Finished Good
Serial No and Batch for Finished Good,Serial No and Batch for Finished Good
Serial No and Batch Selector cannot be use when Use Serial / Batch Fields is enabled.,لا يمكن استخدام محدد الرقم التسلسلي والدفعة عند تمكين استخدام حقول الرقم التسلسلي / الدفعة.
Serial No Count,المسلسل لا عد
Serial No Details,تفاصيل المسلسل
Serial No is mandatory,الرقم التسلسلي إلزامي
Serial No is mandatory for Item {0},رقم المسلسل إلزامي القطعة ل {0}
Serial No Ledger,دفتر أستاذ الأرقام التسلسلية
Serial No Range,نطاق الأرقام التسلسلية
Serial No Reserved,الرقم التسلسلي محجوز
Serial No Service Contract Expiry,مسلسل العقد لا انتهاء الاشتراك خدمة
Serial No Status,حالة رقم المسلسل
Serial No Warranty Expiry,المسلسل لا عودة انتهاء الاشتراك
Serial No:,الرقم التسلسلي:
Serial No: {0} has already been transacted into another POS Invoice.,الرقم التسلسلي: تم بالفعل معاملة {0} في فاتورة نقطة بيع أخرى.
Serial no(s) required for serialized item {0},الرقم التسلسلي (العناصر) المطلوبة للعنصر المتسلسل {0}
Serial Nos,الأرقام التسلسلية
Serial Nos / Batch Nos,الأرقام التسلسلية / أرقام الدفعات
Serial Nos and Batches,الرقم التسلسلي ودفعات
Serial Nos are created successfully,تم إنشاء الأرقام التسلسلية بنجاح
"Serial Nos are reserved in Stock Reservation Entries, you need to unreserve them before proceeding.",الأرقام التسلسلية محجوزة في قيود حجز المخزون، يجب عليك إلغاء حجزها قبل المتابعة.
Serial Nos Required,الرقم المسلسل مطلوب
Serial Nos Required for Serialized Item {0},الرقم التسلسلي المطلوب للعنصر المتسلسل {0}\n<br>\nSerial Nos Required for Serialized Item {0}
Serial number {0} entered more than once,الرقم التسلسلي {0} دخلت أكثر من مرة
Serial Number Created,الرقم التسلسلي مكون
Serial Number Series,المسلسل عدد سلسلة
Serial Number: {0} is already referenced in Sales Invoice: {1},الرقم التسلسلي: {0} تم الإشارة إليه من قبل في فاتورة المبيعات: {1}
Serial Numbers,الأرقام التسلسلية
Serial Numbers Created,الأرقام التسلسلية التي تم إنشاؤها
"Serial numbers for stock will be set automatically based on the Items entered based on first in first out in transactions like Purchase/Sales Invoices, Delivery Notes, etc.",سيتم تعيين الأرقام التسلسلية للمخزون تلقائيًا بناءً على العناصر التي تم إدخالها بناءً على ما يرد أولاً في المعاملات مثل فواتير الشراء / المبيعات ، وإشعارات التسليم ، وما إلى ذلك.
Serial Numbers in row {0} does not match with Delivery Note,لا تتطابق الأرقام التسلسلية في الصف {0} مع ملاحظة التسليم
Serial numbers unavailable for Item {0} under warehouse {1}. Please try changing warehouse.,الأرقام التسلسلية غير متاحة للعنصر {0} تحت المستودع {1}. يرجى محاولة تغيير المستودع.
Serialized Inventory,جرد المتسلسلة
serials,أرقام تسلسلية
Series,سلسلة التسمية
Series {0} already used in {1},الترقيم المتسلسل {0} مستخدم بالفعل في {1}
Series counter for {} updated to {} successfully,تم تحديث عداد السلسلة لـ {} إلى {} بنجاح
Series for Asset Depreciation Entry (Journal Entry),سلسلة دخول الأصول (دخول دفتر اليومية)
Series is mandatory,الترقيم المتسلسل إلزامي
Series List for this Transaction,قائمة متسلسلة لهذه العملية
Series Updated,تم تحديث الرقم المتسلسل
Series Updated for {},تم تحديث السلسلة لـ {}
Series Updated Successfully,تم تحديث الترقيم المتسلسل بنجاح
Served,خدم
Server Action,عمل الخادم
Server Error,خطأ في الخادم
Server failed to process this request because of a concurrent conflicting request. Please try again.,فشل الخادم في معالجة هذا الطلب بسبب طلب متزامن متعارض. يرجى المحاولة مرة أخرى.
Server IP,خادم IP
Server Script,خادم النصي
Server Scripts are disabled. Please enable server scripts from bench configuration.,السكريبتات النصية للخادم معطلة. يرجى تمكين السكريبتات النصية للخادم من تكوين المنصة.
Server Scripts feature is not available on this site.,ميزة السكريبتات النصية للخادم غير متوفرة على هذا الموقع.
Server was too busy to process this request. Please try again.,كان الخادم مشغولاً للغاية لمعالجة هذا الطلب. يرجى المحاولة مرة أخرى.
Service,خدمة
Service Address,عنوان الخدمة
Service Cost Per Qty,تكلفة الخدمة لكل كمية
Service Day,يوم الخدمة
Service Detail,خدمة التفاصيل
Service Details,تفاصيل الخدمة
Service End Date,تاريخ انتهاء الخدمة
Service Expense,نفقات الصيانة
Service Expense Account,Service Expense Account
Service Expense Account,Service Expense Account
Service Expense Total Amount,إجمالي مبلغ مصروفات الخدمة
Service Expenses,مصاريف الخدمة
Service Item,بند الخدمة
Service Item {0} is disabled.,صنف الخدمة {0} معطل.
Service Item {0} must be a non-stock item.,يجب أن يكون صنف الخدمة {0} صنفًا غير مخزني.
Service item not present in Purchase Invoice {0},صنف الخدمة غير موجود في فاتورة الشراء {0}
Service Item Qty,كمية صنف الخدمة
Service Item Qty / Finished Good Qty,كمية صنف الخدمة / كمية المنتج النهائي
Service Item UOM,وحدة قياس صنف الخدمة
Service Items,أصناف الخدمة
Service Level,مستوى الخدمة
Service Level Agreement,اتفاقية مستوى الخدمة
Service Level Agreement Creation,إنشاء اتفاقية مستوى الخدمة
Service Level Agreement Details,تفاصيل اتفاقية مستوى الخدمة
Service Level Agreement for {0} {1} already exists.,اتفاقية مستوى الخدمة لـ {0} {1} موجودة بالفعل.
Service Level Agreement has been changed to {0}.,تم تغيير اتفاقية مستوى الخدمة إلى {0}.
Service Level Agreement Status,حالة اتفاقية مستوى الخدمة
Service Level Agreement was reset.,تمت إعادة ضبط اتفاقية مستوى الخدمة.
Service Level Agreement with Entity Type {0} and Entity {1} already exists.,اتفاقية مستوى الخدمة مع نوع الكيان {0} والكيان {1} موجودة بالفعل.
Service Level Agreement.,اتفاقية مستوى الخدمة.
Service Level Agreements,اتفاقيات مستوى الخدمة
Service Level Name,اسم مستوى الخدمة
Service Level Priority,أولوية مستوى الخدمة
Service Level.,مستوى الخدمة.
Service Provider,مزود الخدمة
Service Received But Not Billed,تم استلام الخدمة ولكن لم يتم دفع الفاتورة
Service Start Date,تاريخ بدء الخدمة
Service Stop Date,تاريخ توقف الخدمة
Service Stop Date cannot be after Service End Date,لا يمكن أن يكون تاريخ إيقاف الخدمة بعد تاريخ انتهاء الخدمة
Service Stop Date cannot be before Service Start Date,لا يمكن أن يكون تاريخ إيقاف الخدمة قبل تاريخ بدء الخدمة
Service Unit,وحدة الخدمة
Service Unit Type,نوع وحدة الخدمة
Services,الخدمات
Session Active,الجلسة نشطة
Session Default,الجلسة الافتراضية
Session Default Settings,إعدادات الجلسة الافتراضية
Session Defaults,الجلسة الافتراضية
Session Defaults Saved,تم حفظ الإعدادات الافتراضية للجلسة
Session Expired,انتهت الجلسة
"Session expired, please login again",انتهت الجلسة، يرجى الدخول مجدداً
Session Expiry (idle timeout),انتهاء صلاحية الجلسة (مهلة الخمول)
Session Expiry must be in format {0},يجب أن يكون انتهاء الجلسة بالتنسيق {0}
Session is expired. Save doc to login.,انتهت الجلسة. حفظ المستند لتسجيل الدخول.
Session Not Active. Save doc to login.,الجلسة غير نشطة. حفظ المستند لتسجيل الدخول.
"Session not valid, Do you want to login?",الجلسة غير صالحة هل تريد تسجيل الدخول؟
Session Status,حالة الجلسة
Sessions,الجلسات
Sessions Completed,تم الانتهاء من الجلسات
Set,مجموعة
"Set ""From(Year)"" and ""To(Year)"" to 0 for no upper and lower limit.","عيّن ""من (سنة)"" و ""إلى (سنة)"" إلى 0 لعدم وجود حد أعلى وأدنى."
Set {0} for selected employees,تعيين {0} للموظفين المحددين
Set {0} in asset category {1} for company {2},عيّن {0} في فئة الأصل {1} للشركة {2}
Set {0} in asset category {1} or company {2},تعيين {0} في فئة الأصول {1} أو الشركة {2}
Set {0} in company {1},قم بتعيين {0} في الشركة {1}
Set 0 for no limit,مجموعة 0 لأي حد
Set a Default Warehouse for Inventory Transactions. This will be fetched into the Default Warehouse in the Item master.,تعيين مستودع افتراضي لمعاملات المخزون. سيتم جلب هذا إلى المستودع الافتراضي في مدير السلعة.
Set Accepted Warehouse,حدد المخزن المعتمد
Set Advances and Allocate (FIFO),تعيين السلف والتخصيص (FIFO)
Set all private,تعيين الكل كخاص
Set all public,تعيين الكل كعام
Set as Closed,على النحو مغلق
Set as Completed,تعيين كـ مكتمل
Set as Default,تعيين كافتراضي
Set as Default Theme,تعيين كالموضوع الافتراضي
Set as Lost,على النحو المفقودة
Set as Open,على النحو المفتوحة
Set Assignment Details,تعيين تفاصيل التعيين
Set Attendance Details,تعيين تفاصيل الحضور
Set attendance details for the employees select above,تعيين تفاصيل الحضور للموظفين المحددين أعلاه
Set Banner from Image,تعيين ترويسة من الصورة
Set Basic Rate Manually,قم بتعيين السعر الأساسي يدويًا
Set by Item Tax Template,تعيين بواسطة قالب ضريبة الصنف
Set by user,معين بواسطة المستخدم
Set Chart,مجموعة الرسم البياني
"Set context before rendering a template. Example:  ```  context.project = frappe.get_doc(""Project"", frappe.form_dict.name)  ```","قم بتعيين السياق قبل عرض القالب. مثال:  ```  context.project = frappe.get_doc(""Project"", frappe.form_dict.name)  ```"
Set default {0} account for non stock items,تعيين حساب {0} افتراضي للأصناف غير المخزنية
Set default {0} account for perpetual inventory for non stock items,تعيين حساب {0} الافتراضي للمخزون الدائم للعناصر غير المخزنة
Set default inventory account for perpetual inventory,تعيين حساب المخزون الافتراضي للمخزون الدائم
"Set Default Options for all charts on this Dashboard (Ex: ""colors"": [""#d1d8dd"", ""#ff5858""])",تعيين الخيارات الافتراضية لجميع الرسوم البيانية في لوحة المعلومات هذه (على سبيل المثال: &quot;الألوان&quot;: [&quot;# d1d8dd&quot;، &quot;# ff5858&quot;])
Set Default Supplier,تعيين المورد الافتراضي
"Set Default Values like Company, Currency, Current Fiscal Year, etc.",تعيين القيم الافتراضية مثل الشركة، والعملة، والسنة المالية الحالية، وما إلى ذلك.
Set Details,مجموعة التفاصيل
Set dynamic filter values in JavaScript for the required fields here.,"تعيين قيم ""معايير تصفية"" تفاعلية في جافا سكريبت للحقول المطلوبة هنا."
Set Dynamic Filters,تعيين عوامل التصفية الديناميكية
Set Exchange Gain / Loss,تعيين كسب تبادل / الخسارة
Set fieldname from which you want to fetch the data from the parent form.,عيّن اسم الحقل الذي تريد جلب البيانات منه من النموذج الأصلي.
Set Filters,تعيين الفلاتر
Set Filters for {0},تعيين الفلاتر لـ {0}
Set filters to fetch employees,تعيين عوامل التصفية لجلب الموظفين
Set Finished Good Quantity,تعيين كمية المنتج النهائي
Set From Warehouse,تعيين من مستودع
Set Grand Total to Default Payment Method,تعيين الإجمالي الكلي لطريقة الدفع الافتراضية
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,تعيين قيمة الفاتورة ل B2C. B2CL و B2CS محسوبة بناء على قيمة الفاتورة هذه.
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,تعيين مجموعة من الحكمة الإغلاق الميزانيات على هذا الإقليم. يمكنك أيضا تضمين الموسمية عن طريق تعيين التوزيع.
Set Landed Cost Based on Purchase Invoice Rate,تعيين التكلفة الهابطة بناءً على سعر فاتورة الشراء
Set Leave Details,تعيين تفاصيل الإجازة
Set Level,تعيين المستوى
Set Limit,تعيين الحد
Set Loyalty Program,تعيين برنامج الولاء
Set Meta Tags,Set Meta Tags
Set Meta Tags,ضبط الوسوم الوصفية (Meta Tags)
Set Naming Series options on your transactions.,تعيين خيارات سلسلة التسمية على معاملاتك.
Set New Password,وضع كلمة سر جديدة
Set New Release Date,تعيين تاريخ الإصدار الجديد
Set non-standard precision for a Float or Currency field,تعيين الدقة غير القياسية لحقل تعويم أو العملات
"Set non-standard precision for a Float, Currency or Percent field","Set non-standard precision for a Float, Currency or Percent field"
"Set non-standard precision for a Float, Currency or Percent field","Set non-standard precision for a Float, Currency or Percent field"
Set Number of Backups,تعيين عدد من النسخ الاحتياطية
Set only once,تعيين مرة واحدة فقط
Set opening balances for earnings and taxes from the previous employer,تعيين الأرصدة الافتتاحية للاستحقاقات والضرائب من صاحب العمل السابق
Set Operating Cost / Scrap Items From Sub-assemblies,تعيين تكلفة التشغيل / أصناف الخردة من التجميعات الفرعية
Set Operating Cost Based On BOM Quantity,تعيين تكلفة التشغيل بناءً على كمية قائمة المواد
Set optional filters to fetch employees in the appraisee list,تعيين عوامل تصفية اختيارية لجلب الموظفين في قائمة المقيمين
Set Parent Row No in Items Table,تعيين رقم الصف الأصلي في جدول الأصناف
Set Password,تعيين كلمة المرور
Set Permissions,تعيين أذونات
Set Posting Date,حدد تاريخ النشر
Set prefix for numbering series on your transactions,تحديد بادئة للترقيم المتسلسل على المعاملات الخاصة بك
Set Price,تعيين السعر
Set Process Loss Item Quantity,تعيين كمية صنف فاقد المعالجة
Set Project and all Tasks to status {0}?,عيّن Project وجميع المهام إلى الحالة {0}؟
Set Project Status,تعيين حالة المشروع
Set Properties,تعيين الخصائص
Set Property After Alert,تعيين الملكية بعد تنبيه
Set Qty in Transactions Based on Serial No Input,قم بتعيين الكمية في المعاملات بناءً على عدم إدخال تسلسلي
Set Quantity,ضبط الكمية
Set quantity of process loss item:,تعيين كمية صنف فاقد المعالجة:
Set rate of sub-assembly item based on BOM,تعيين معدل عنصر التجميع الفرعي استنادا إلى بوم
Set Relieving Date for Employee: {0},تعيين تاريخ إخلاء الطرف للموظف: {0}
Set Reserve Warehouse,تعيين مستودع الاحتياطي
Set Response Time and Resolution Time for Priority {0} in row {1}.,عيّن وقت الاستجابة ووقت الحل للأولوية {0} في الصف {1}.
Set Response Time for Priority {0} in row {1}.,تعيين وقت الاستجابة للأولوية {0} في الصف {1}.
Set Role For,تعيين صلاحية لل
Set Serial and Batch Bundle Naming Based on Naming Series,تعيين تسمية حزمة الرقم التسلسلي والدفعة بناءً على سلسلة التسمية
Set Shipping Address or Billing Address,حدد عنوان الشحن أو عنوان الفواتير
Set size in MB,تعيين الحجم بالميجابايت
Set Source Warehouse,تعيين المخزن المصدر
Set Status,تعيين الحالة
Set Target Warehouse,حدد المخزن الوجهة
Set targets Item Group-wise for this Sales Person.,"تعيين المستهدفات حسب ""مجموعة الأصناف"" لمندوب المبيعات هذا."
Set Tax Rule for shopping cart,مجموعة القاعدة الضريبية لعربة التسوق
Set the default account for the {0} {1},تعيين الحساب الافتراضي لـ {0} {1}
"Set the filters here. For example:
<pre class=""small text-muted""><code>
[{
	fieldname: ""company"",
	label: __(""Company""),
	fieldtype: ""Link"",
	options: ""Company"",
	default: frappe.defaults.get_user_default(""Company""),
	reqd: 1
},
{
	fieldname: ""account"",
	label: __(""Account""),
	fieldtype: ""Link"",
	options: ""Account"",
	reqd: 1
}]
</code></pre>","قم بتعيين الفلاتر هنا. على سبيل المثال:
<pre class=""small text-muted""><code>
[{
	fieldname: ""company"",
	label: __(""الشركة""),
	fieldtype: ""Link"",
	options: ""Company"",
	default: frappe.defaults.get_user_default(""Company""),
	reqd: 1
},
{
	fieldname: ""account"",
	label: __(""الحساب""),
	fieldtype: ""Link"",
	options: ""Account"",
	reqd: 1
}]
</code></pre>"
"Set the filters here. For example: ```  [{ 	fieldname: ""company"", 	label: __(""Company""), 	fieldtype: ""Link"", 	options: ""Company"", 	default: frappe.defaults.get_user_default(""Company""), 	reqd: 1 }, { 	fieldname: ""account"", 	label: __(""Account""), 	fieldtype: ""Link"", 	options: ""Account"", 	reqd: 1 }]  ```","قم بتعيين الفلاتر هنا. على سبيل المثال: ```  [{ 	fieldname: ""company"", 	label: __(""الشركة""), 	fieldtype: ""Link"", 	options: ""Company"", 	default: frappe.defaults.get_user_default(""Company""), 	reqd: 1 }, { 	fieldname: ""account"", 	label: __(""الحساب""), 	fieldtype: ""Link"", 	options: ""Account"", 	reqd: 1 }]  ```"
Set the frequency for holiday reminders,تعيين تكرار تذكيرات العطلات
Set the Item Code which will be used for billing the Clinical Procedure.,قم بتعيين رمز العنصر الذي سيتم استخدامه لفوترة الإجراء السريري.
Set the Out Patient Consulting Charge for this Practitioner.,حدد رسوم استشارة المريض الخارجي لهذا الممارس.
"Set the path to a whitelisted function that will return the data for the number card in the format:

<pre class=""small text-muted""><code>
{
	""value"": value,
	""fieldtype"": ""Currency"",
	""route_options"": {""from_date"": ""2023-05-23""},
	""route"": [""query-report"", ""Permitted Documents For User""]
}</code></pre>","قم بتعيين المسار إلى دالة مدرجة في القائمة البيضاء والتي ستعيد البيانات لبطاقة الأرقام بالتنسيق:

<pre class=""small text-muted""><code>
{
	""value"": value,
	""fieldtype"": ""Currency"",
	""route_options"": {""from_date"": ""2023-05-23""},
	""route"": [""query-report"", ""Permitted Documents For User""]
}</code></pre>"
"Set the path to a whitelisted function that will return the data for the number card in the format: ```  { 	""value"": value, 	""fieldtype"": ""Currency"", 	""route_options"": {""from_date"": ""2023-05-23""}, 	""route"": [""query-report"", ""Permitted Documents For User""] } ```","قم بتعيين المسار إلى دالة مدرجة في القائمة البيضاء والتي ستعيد البيانات لبطاقة الأرقام بالتنسيق: ```  { 	""value"": value, 	""fieldtype"": ""Currency"", 	""route_options"": {""from_date"": ""2023-05-23""}, 	""route"": [""query-report"", ""Permitted Documents For User""] } ```"
Set the Planned Start Date (an Estimated Date at which you want the Production to begin),عيّن تاريخ البدء المخطط (تاريخ تقديري تريد أن يبدأ فيه الإنتاج)
Set the Practitioner Schedule you just created. This will be used while booking appointments.,قم بتعيين جدول الممارس الذي أنشأته للتو. سيتم استخدام هذا أثناء حجز المواعيد.
Set the properties that should be updated in the Employee master on promotion submission,تعيين الخصائص التي يجب تحديثها في ملف الموظف الرئيسي عند تقديم الترقية
Set the status manually.,عيّن الحالة يدويًا.
Set the status to {0} if required.,عيّن الحالة إلى {0} إذا لزم الأمر.
Set this if the customer is a Public Administration company.,حدد هذا إذا كان العميل شركة إدارة عامة.
Set up default Accounts for the Healthcare Facility,قم بإعداد حسابات افتراضية لمنشأة الرعاية الصحية
Set User Permissions,تعيين صلاحيات المستخدم
Set Valuation Rate Based on Source Warehouse,تعيين معدل التقييم بناءً على مستودع المصدر
Set Valuation Rate for Rejected Materials,تعيين معدل التقييم للمواد المرفوضة
Set Value,تعيين القيمة
Set Warehouse,تعيين المستودع
Sets 'Accepted Warehouse' in each row of the items table.,يعيّن &quot;المستودع المقبول&quot; في كل صف من جدول العناصر.
Sets 'Accepted Warehouse' in each row of the Items table.,يعيّن 'المستودع المقبول' في كل صف من جدول الأصناف.
Sets 'Rejected Warehouse' in each row of the items table.,يعيّن &quot;المستودع المرفوض&quot; في كل صف من جدول العناصر.
Sets 'Rejected Warehouse' in each row of the Items table.,يعيّن 'المستودع المرفوض' في كل صف من جدول الأصناف.
Sets 'Reserve Warehouse' in each row of the Supplied Items table.,يعيّن 'مستودع الحجز' في كل صف من جدول الأصناف الموردة.
Sets 'Source Warehouse' in each row of the Items table.,يعيّن &quot;مستودع المصدر&quot; في كل صف من جدول السلع.
Sets 'Source Warehouse' in each row of the items table.,يعيّن &quot;مستودع المصدر&quot; في كل صف من جدول العناصر.
Sets 'Target Warehouse' in each row of the Items table.,يعيّن &quot;المستودع المستهدف&quot; في كل صف من جدول السلع.
Sets 'Target Warehouse' in each row of the items table.,يعيّن &quot;المستودع المستهدف&quot; في كل صف من جدول العناصر.
Sets 'Warehouse' in each row of the Items table.,يعيّن &quot;المستودع&quot; في كل صف من جدول السلع.
Setting,Setting
Setting,Setting
Setting {} is required,الإعداد {} مطلوب
Setting {0} is required,Setting {0} is required
Setting {0} is required,Setting {0} is required
Setting Account Type helps in selecting this Account in transactions.,تحديد نوع الحساب يساعد في تحديد هذا الحساب في المعاملات.
Setting defaults,تعيين الإعدادات الافتراضية
"Setting Events to {0}, since the Employee attached to the below Sales Persons does not have a User ID{1}",سيتم تعيين الأحداث إلى {0}، نظرًا لأن الموظف المرتبط بمناديب المبيعات أدناه ليس لديه معرّف مستخدم (User ID){1}
Setting Item Locations...,جاري تعيين مواقع الأصناف...
Setting the account as a Company Account is necessary for Bank Reconciliation,يعد تعيين الحساب كحساب شركة ضروريًا لتسوية البنك
Setting this Address Template as default as there is no other default,وضع هذا القالب كما العنوان الافتراضي حيث لا يوجد الافتراضية الأخرى
Setting up company,تأسيس شركة
Setting up Email,إعداد البريد الإلكتروني
Setting up Email Account,إعداد حساب بريد إلكتروني
Setting up Employees,إعداد الموظفين
Setting up Global Search documents.,إعداد وثائق البحث العالمي.
Setting up Taxes,إعداد الضرائب
Setting up your system,إعداد النظام الخاص بك
Settings,إعدادات
Settings,إعدادات
Settings Dropdown,قائمة الإعدادات المنسدلة
Settings for Accounts,إعدادات الحسابات
Settings for Buying Module,إعدادات لشراء وحدة
Settings for Contact Us Page,إعدادات صفحة اتصل بنا
"Settings for online shopping cart such as shipping rules, price list etc.",إعدادات عربة التسوق مثل قواعد الشحن، وقائمة الأسعار الخ
Settings for Selling Module,إعدادات لبيع وحدة
Settings for the About Us Page,إعدادات صفحة من نحن
Settings for website homepage,إعدادات موقعه الإلكتروني
Settings for website product listing,إعدادات قائمة منتجات الموقع
Settings Missing,الإعدادات مفقودة
Settings saved and warehouse updated. Reloading stock...,تم حفظ الإعدادات وتحديث المستودع. جاري إعادة تحميل المخزون...
Settings saved successfully,تم حفظ الإعدادات بنجاح
"Settings saved, warehouse updated, and tax mode changed. Cart will be recalculated.",تم حفظ الإعدادات وتحديث المستودع وتغيير وضع الضريبة. سيتم إعادة حساب السلة.
"Settings saved. Tax mode is now ""exclusive"". Cart will be recalculated.","تم حفظ الإعدادات. وضع الضريبة الآن ""غير شامل"". سيتم إعادة حساب السلة."
"Settings saved. Tax mode is now ""inclusive"". Cart will be recalculated.","تم حفظ الإعدادات. وضع الضريبة الآن ""شامل"". سيتم إعادة حساب السلة."
Settings to control blog categories and interactions like comments and likes,إعدادات للتحكم في فئات المدونة والتفاعلات مثل التعليقات والإعجابات
Settle against Advances,تسوية مقابل السلف
Settle all Payables and Receivables before submission,تسوية جميع المستحقات والمدفوعات قبل التقديم
Settled,تسوية
Setup,الإعدادات
Setup > Customize Form,إعداد > تخصيص النموذج
Setup > User,إعداد > المستخدم
Setup > User Permissions,إعداد > أذونات المستخدم
Setup Auto Email,الإعداد التلقائي البريد الإلكتروني
Setup cheque dimensions for printing,أبعاد الاختيار الإعداد للطباعة
Setup Complete,الإعداد كاملة
Setup default values for POS Invoices,إعداد القيم الافتراضية لفواتير نقاط البيع
Setup failed,فشل الإعداد
Setup Gateway accounts.,إعدادت بوابة الحسايات.
Setup mode of POS (Online / Offline),وضع الإعداد بوس (الانترنت / غير متصل)
Setup Series,إعداد الترقيم المتسلسل
Setup Series for transactions,إعداد السلسلة للمعاملات
Setup SMS gateway settings,إعدادات العبارة  SMS
Setup Wizard,Setup Wizard
Setup Wizard,Setup Wizard
Setup your Institute in ERPNext,إعداد المعهد الخاص بك في إربنكست
Setup your organization,إعداد مؤسستك
SEZ,المناطق الاقتصادية الخاصة
SGST Account,حساب سست
SGST Amount,المبلغ SGST
share,مشاركة
Share,مشاركة
Share {0} with,مشاركة {0} مع
Share Balance,رصيد السهم
Share Ledger,مشاركة دفتر الأستاذ
Share Management,إدارة المشاركة
Share On,مشاركه فى
Share Receipt,مشاركة الإيصال
Share this document with,مشاركة هذا المستند مع
Share Transfer,نقل المشاركة
Share Type,نوع المشاركة
Share With,مشاركة مع
share-alt,حصة بديل
share-alt,حصة بديل
Shared,مشتركة
Shared secret,سر مشترك
Shared with the following Users with Read access:{0},مشترك مع المستخدمين التاليين الذين لهم حق الوصول للقراءة: {0}
Shared with the user {0} with 'submit' permisions,تمت مشاركته مع المستخدم {0} مع صلاحيات 'التقديم'
Shareholder,المساهم
Shelf Life In Days,العمر الافتراضي في الأيام
Shelf Life in Days,مدة الصلاحية بالأيام
Shift,مناوبة
Shift & Attendance,المناوبات والحضور
Shift Actual End,التحول نهاية الفعلية
Shift Actual End Time,وقت الانتهاء الفعلي للمناوبة
Shift Actual Start,التحول الفعلي البداية
Shift Actual Start Time,وقت البدء الفعلي للمناوبة
Shift Assignment,مهمة التحول
Shift Assignment Details,تفاصيل تعيين المناوبة
Shift Assignment History,سجل تعيين المناوبات
Shift Assignment Tool,أداة تعيين المناوبات
